timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-03-03,83.8100,84.0300,83.6900,83.7000,83.7000,21382,0.0000
2021-02-26,84.1500,84.9300,83.4000,84.0500,84.0500,50133,0.0000
2021-01-29,85.3900,85.7900,84.2400,84.3700,84.3700,59688,0.0000
2020-12-31,83.4300,85.4800,83.4300,85.1700,85.1700,98503,0.0000
2020-11-30,81.3800,83.6600,81.2450,83.1200,83.1200,63750,0.0000
2020-10-30,81.5600,82.4099,81.3100,81.3100,81.3100,40330,0.0000
2020-09-30,83.5700,83.5700,80.8500,81.5600,81.5600,37778,0.0000
2020-08-31,82.2300,83.0300,81.6200,82.8900,82.8900,31439,0.0000
2020-07-31,79.0500,82.3200,79.0500,82.0450,82.0450,38021,0.0000
2020-06-30,78.4000,79.9794,78.1200,78.9700,78.9700,47348,0.0000
2020-05-29,77.5250,78.4900,76.9250,78.1200,78.1200,45569,0.0000
2020-04-30,77.1600,77.6700,75.9600,77.5250,77.5250,156520,0.0000
2020-03-31,78.5000,81.3464,73.3900,77.1600,77.1600,123199,0.0000
2020-02-28,78.4800,78.4800,76.7600,78.2468,78.2468,27231,0.0000
2020-01-31,79.1300,79.2700,77.9801,78.4244,78.4244,69809,0.0000
2019-12-31,77.9465,79.5299,77.9465,79.2450,79.2450,28644,0.0000
2019-11-29,78.9600,78.9616,77.9100,77.9465,77.9465,26725,0.0000
2019-10-31,77.5700,78.9700,77.5700,78.9589,78.9589,51598,0.0000
2019-09-30,78.1200,78.7600,77.6800,77.6800,77.6800,82023,0.0000
2019-08-30,78.6018,79.4200,78.3652,78.3652,78.3652,32151,0.0000
2019-07-31,79.9400,79.9400,78.6000,78.6018,78.6018,192177,0.0000
2019-06-28,78.8800,80.1800,78.7800,79.9300,79.9300,43256,0.0000
2019-05-31,78.4516,78.8649,78.0900,78.5900,78.5900,79911,0.0000
2019-04-30,78.9400,79.1990,78.1373,78.5920,78.5920,53390,0.0000
2019-03-29,79.4000,79.8811,78.4200,78.9300,78.9300,108276,0.0000
2019-02-28,80.3100,80.3100,78.8700,79.4275,79.4275,91372,0.0000
2019-01-31,79.7600,80.7600,79.2301,80.2200,80.2200,130963,0.0000
2018-12-31,80.3200,80.7206,78.8300,79.7600,79.7600,156931,1.4324
2018-11-30,80.5200,81.0400,79.7799,80.0600,78.6331,59229,0.0000
2018-10-31,81.4600,81.7700,80.0300,80.0349,78.6085,82953,0.0000
2018-09-28,81.4400,82.6300,81.3184,81.3184,79.8691,66290,0.0000
2018-08-31,82.2000,82.4600,80.5000,81.9200,80.4600,197754,0.0000
2018-07-31,82.0500,82.9650,81.5900,82.3100,80.8430,84632,0.0000
2018-06-29,82.5582,83.3600,81.9300,82.3000,80.8332,45092,0.0000
2018-05-31,84.3600,84.4048,81.4637,82.9300,81.4520,148311,0.0000
2018-04-30,86.6700,87.1100,84.4100,84.7511,83.2406,126707,0.0000
2018-03-29,85.8100,87.6680,85.7990,86.7100,85.1646,128823,0.0000
2018-02-28,87.1700,87.6577,85.8110,86.2700,84.7325,107720,0.0000
2018-01-31,84.5100,87.5350,83.9600,87.0700,85.5182,125435,0.0000
2017-12-29,83.8900,84.2400,82.9620,84.1900,82.6895,49273,0.3893
2017-11-30,82.5500,84.5200,82.1800,83.9836,82.1030,64754,0.0000
2017-10-31,83.8000,84.3800,82.3801,82.9350,81.0779,60598,0.0000
2017-09-29,84.6700,86.1000,83.4300,83.8908,82.0123,67420,0.0000
2017-08-31,84.2750,85.6200,83.4810,84.8015,82.9026,55779,0.0000
2017-07-31,81.4900,84.5600,81.2100,84.5600,82.6665,54913,0.0000
2017-06-30,80.8183,82.0600,80.4700,82.0600,80.2225,101628,0.0000
2017-05-31,79.4800,81.1049,78.4601,80.8700,79.0591,106670,0.0000
2017-04-28,78.3400,79.7413,78.0900,79.4475,77.6685,154057,0.0000
2017-03-31,77.3000,79.7400,76.9150,78.5400,76.7813,133106,0.0000
2017-02-28,78.7200,78.9980,77.2800,78.1000,76.3512,70204,0.0000
2017-01-31,76.0400,80.5379,75.3600,78.7235,76.9607,138248,0.0000
2016-12-30,77.5400,78.7480,75.7310,76.2607,74.5530,155464,0.0000
2016-11-30,81.4040,81.9700,77.2300,77.5899,75.8525,73875,0.0000
2016-10-31,83.3800,83.3800,80.2816,80.6900,78.8832,61550,0.0000
2016-09-30,82.3886,83.5800,82.2170,83.1459,81.2841,156748,0.0000
2016-08-31,82.8200,84.0600,81.7600,82.0100,80.1736,234360,0.0000
2016-07-29,82.6285,82.7600,80.6100,82.7300,80.8775,43587,0.0000
2016-06-30,81.2640,84.3715,81.2201,82.0195,80.1829,111925,0.0000
2016-05-31,83.6300,84.0200,80.9900,81.2600,79.4404,195757,0.0000
2016-04-29,81.8220,83.3578,81.4400,83.3295,81.4636,285489,0.0000
2016-03-31,78.7800,82.1800,78.7800,82.0090,80.1726,91777,0.0000
2016-02-29,77.6400,81.3578,77.6000,79.0325,77.2628,85019,0.0000
2016-01-29,77.9800,78.4799,77.2900,77.3700,75.6375,121717,0.0000
2015-12-31,76.7200,78.8300,76.3700,77.9160,76.1713,413744,0.0000
2015-11-30,78.8000,78.9100,76.3200,76.3600,74.6501,221213,0.0000
2015-10-30,79.6687,81.4200,78.2000,78.6700,76.9084,216372,0.0000
2015-09-30,80.1200,80.9800,79.1000,79.3000,77.5243,258776,0.0000
2015-08-31,78.2100,82.5800,77.6613,79.3700,77.5927,375049,0.0690
2015-07-31,79.5469,79.6900,77.7701,78.3600,76.5378,153080,0.0000
2015-06-30,78.8100,82.1100,78.1500,79.7500,77.8955,380267,0.0000
2015-05-29,80.9800,82.2399,78.2620,78.8700,77.0359,144977,0.0000
2015-04-30,78.1900,80.9300,77.1801,80.7400,78.8624,246314,0.0000
2015-03-31,80.4000,80.5200,76.5400,78.1000,76.2838,387450,0.0000
2015-02-27,81.0800,82.3200,79.2200,80.4000,78.5303,233590,0.0000
2015-01-30,84.1300,84.1400,80.7900,81.2800,79.3899,285579,0.0000
2014-12-31,86.7900,86.7999,84.0500,84.5000,82.5350,677684,0.1068
2014-11-28,86.8800,87.9180,86.3400,86.6060,84.4854,193776,0.0205
2014-10-31,89.1200,90.7399,87.8400,87.9600,85.7861,254688,0.0260
2014-09-30,93.0900,93.0900,89.0100,89.3000,87.0676,299233,0.0260
2014-08-29,94.5600,94.7600,93.0515,93.1100,90.7570,149191,0.0260
2014-07-31,96.1500,96.3130,94.2100,94.4900,92.0768,159965,0.0252
2014-06-30,95.4400,96.4200,95.0901,96.2600,93.7770,227222,0.0251
2014-05-30,96.3800,96.9660,95.3060,95.7100,93.2167,217005,0.0240
2014-04-30,95.7500,96.8500,95.1200,96.5100,93.9724,120663,0.0240
2014-03-31,95.9200,96.7600,95.3700,95.8500,93.3063,93803,0.0240
2014-02-28,93.9500,95.9800,93.9500,95.9080,93.3393,167162,0.0242
2014-01-31,95.4700,95.4700,93.5500,93.9301,91.3910,212787,0.0000
2013-12-31,94.4300,95.8900,93.8100,94.3400,91.7898,419386,0.0943
2013-11-29,95.4400,95.6200,94.3201,95.0940,92.4310,288138,0.0000
2013-10-31,95.5900,97.1400,94.7700,95.5500,92.8742,173323,0.0000
2013-09-30,92.4800,96.0000,92.1300,95.2420,92.5748,214287,0.0050
2013-08-30,93.3780,94.9900,92.9001,93.0100,90.4004,616246,0.0050
2013-07-31,92.1300,93.9500,90.3700,93.6000,90.9690,219374,0.0100
2013-06-28,92.1600,95.4500,91.5900,91.7100,89.1225,628984,0.0100
2013-05-31,94.5800,94.7600,91.2080,92.5175,89.8975,650674,0.0100
2013-04-30,93.8500,94.6000,92.7800,94.6000,91.9113,306738,0.0152
2013-03-28,94.4000,94.8300,92.9700,93.3910,90.7220,530355,0.0152
2013-02-28,97.7500,97.8500,94.5700,94.7000,91.9788,347186,0.0252
2013-01-31,97.5300,97.6990,95.6800,97.3000,94.4797,446507,0.0000
2012-12-31,97.3800,98.7400,96.8000,97.0208,94.2086,364983,0.5196
2012-11-30,97.2900,98.6100,95.5100,97.2237,93.9055,171958,0.0211
2012-10-31,98.4900,99.6500,97.0600,97.9100,94.5480,190228,0.0541
2012-09-28,97.0000,99.0100,95.5300,97.7065,94.2992,129585,0.0541
2012-08-31,93.7400,96.0800,92.8400,96.0100,92.6097,184587,0.0781
2012-07-31,93.6600,95.1300,92.0000,94.0220,90.6167,215626,0.0781
2012-06-29,94.4400,95.1500,90.0100,94.5710,91.0704,246047,0.0781
2012-05-31,99.6000,99.6000,93.6500,93.9980,90.4433,163675,0.1020
2012-04-30,99.3700,99.4500,96.1400,99.4106,95.5531,155895,0.1220
2012-03-30,100.1200,100.3200,97.0500,99.2199,95.2528,278856,0.1743
2012-02-29,99.6200,101.1300,98.3220,100.2000,96.0265,253612,0.2179
2012-01-31,97.2800,99.7100,96.0100,98.7830,94.4619,252102,0.0000
2011-12-30,99.4300,99.5600,95.9775,96.9900,92.7473,269182,1.4044
2011-11-30,102.4300,103.0400,99.0560,99.9800,94.2502,316961,0.5655
2011-10-31,100.9000,106.6600,99.7700,104.3900,97.8686,210764,0.5909
2011-09-30,108.5700,108.8200,100.8000,102.1500,95.2080,415453,0.5267
2011-08-31,109.8500,110.3900,106.9800,109.6100,101.6686,1062652,0.3637
2011-07-29,108.7700,110.4200,105.7900,109.8800,101.5802,338287,0.2000
2011-06-30,109.0900,110.6300,106.7100,109.2300,100.7944,515781,0.1744
2011-05-31,111.7300,112.0000,106.0700,108.8300,100.2642,729324,0.1645
2011-04-29,115.3300,115.3300,106.1000,110.9300,102.0472,105218,0.1364
2011-03-31,106.1400,115.9700,105.3729,107.2380,98.5253,167303,0.1333
2011-02-28,105.8500,106.7000,103.6410,106.2820,97.5248,112096,0.1192
2011-01-31,103.8700,106.0000,101.3450,105.6890,96.8722,209174,0.0000
2010-12-31,101.4700,104.6500,101.1800,104.2100,95.5166,135989,0.2649
2010-11-30,106.8400,108.7900,100.9100,101.2100,92.5259,92935,0.1047
2010-10-29,105.6800,108.3100,105.3400,107.1000,97.8145,141460,0.1096
2010-09-30,100.5800,105.4600,100.0550,105.1710,95.9532,102923,0.1045
2010-08-31,100.8700,102.6099,99.0310,99.8900,91.0404,135031,0.0426
2010-07-30,96.1100,100.8600,96.1100,100.8600,91.8859,79937,0.0227
2010-06-30,94.5000,96.1300,92.7150,95.2700,86.7730,76824,0.0734
2010-05-28,99.0900,99.0900,94.0200,94.6000,86.0962,354195,0.0237
2010-04-30,100.5400,101.8900,97.9910,98.9500,90.0335,284006,0.0867
2010-03-31,101.4900,102.9300,99.4180,101.0420,91.8581,231359,0.0838
2010-02-26,102.9500,103.2200,100.2900,102.1800,92.8162,359345,0.0961
2010-01-29,104.6000,105.9700,102.4100,102.6500,93.1560,275521,0.0000
2009-12-31,109.9800,109.9900,103.6201,104.1100,94.4809,263573,0.0832
2009-11-30,107.3400,109.5900,106.4000,109.3700,99.1757,364769,0.0419
2009-10-30,106.5500,108.6700,106.3300,107.0520,97.0358,203785,0.2102
2009-09-30,104.2100,109.4650,104.0100,107.0600,96.8516,258812,0.2017
2009-08-31,104.7900,125.2700,102.8000,104.9500,94.7591,197137,0.1259
2009-07-31,102.7900,104.7300,101.9500,104.6900,94.4112,121306,0.1525
2009-06-30,103.4900,104.3700,100.2100,102.5500,92.3445,130764,0.0965
2009-05-29,97.3600,103.3700,97.3600,103.3700,92.9961,42142,0.1325
2009-04-30,96.7000,99.2000,95.2500,97.4600,87.5601,52361,0.0800
2009-03-31,93.3000,99.5000,92.5400,96.4000,86.5359,22446,0.0700
2009-02-27,95.7500,97.9700,93.6000,93.6000,83.9594,25228,0.0000
